Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,categoria
20.0,6,64.0,79558.11836115326,0.0,0.0,0.46,0.0,0.46,0.0,0.0,46,0,0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.2569427490234376e-05,100,0.0,DOS-TCP_FLOOD,DoS-TCP
17.6,17,104.4,169.44286666532005,0.2,0.0,0.0,0.0,0.4,0.0,0.0,4,0,2,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,612,54,66,61.2,5.266244708835066,61.2,0.0063426971435546,10,27.733333333333327,DNS_SPOOFING,Spoofing
30.8,6,198.9,2107.478645362275,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2184,66,1500,218.4,451.1957446607847,218.4,0.0014096021652221,10,203577.6,MITM-ARPSPOOFING,Spoofing
7.84,17,64.54,6072.716742920021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,1.0,1.0,54023,89,554,540.23,78.69745866290714,540.23,0.000164680480957,100,6193.289999999978,MIRAI-UDPPLAIN,Mirai-Botnet
21.6,6,137.6,21.553673956734418,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.6,0.3,0.0,0.0,0.1,0.0,1.0,1.0,1303,66,230,130.3,66.7666749875182,130.3,0.0475947141647338,10,4457.788888888888,BENIGN,Outros
8.0,17,64.0,46536.15888161545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.1488666534423827e-05,100,0.0,DDOS-UDP_FLOOD,DDoS-UDP/ICMP
29.6,6,133.4,84.65525767120053,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1376,66,279,137.6,79.52665520999163,137.6,0.0151917219161987,10,6324.48888888889,BENIGN,Outros
32.0,6,56.8,5862.060097833682,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13566,66,1500,1356.6,453.4706164681456,1356.6,0.0001707792282104,10,205635.60000000003,MITM-ARPSPOOFING,Spoofing
0.0,1,64.0,34577.93899422918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.8929710388183595e-05,100,0.0,DDOS-ICMP_FLOOD,DDoS-UDP/ICMP
0.0,1,67.82,2871.33595755605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,0.0003482699394226,100,0.0,DDOS-ICMP_FLOOD,DDoS-UDP/ICMP
22.0,6,150.9,454.0469385987702,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0024188995361328,10,0.0,RECON-PORTSCAN,Recon
20.0,6,64.0,46294.74613686535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.608060836791992e-05,100,0.0,DDOS-TCP_FLOOD,DDoS-TCP
29.6,6,64.1,4355.455867082035,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,13596,96,1500,1359.6,443.9837834876405,1359.6,0.0002521991729736,10,197121.6,MITM-ARPSPOOFING,Spoofing
20.0,6,64.0,33748.82523334406,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.9630661010742188e-05,100,0.0,DOS-SYN_FLOOD,DoS-TCP
28.0,6,66.4,288.59360378708647,0.1,0.1,0.0,0.2,0.7,0.0,0.0,7,1,1,0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1157,66,441,115.7,117.6171283822594,115.7,0.003490400314331,10,13833.788888888888,BENIGN,Outros
32.0,6,233.0,4355.003634098224,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,702,66,108,70.2,13.281566172707194,70.2,0.0002297163009643,10,176.40000000000003,DNS_SPOOFING,Spoofing
20.4,6,155.4,27.002206243534008,0.0,0.1,0.0,0.3,0.5,0.0,0.0,5,1,0,0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,1.0,1.0,1276,66,230,127.6,63.94303019963248,127.6,0.0575112104415893,10,4088.711111111111,RECON-HOSTDISCOVERY,Recon
