Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,categoria
22.0,6,75.6,334.5033455885285,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0030661106109619,10,0.0,RECON-HOSTDISCOVERY,Recon
0.16,47,65.82,5542.595871765732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,1.0,58320,90,592,583.2,62.53435419467812,583.2,0.0001815605163574,100,3910.545454545456,MIRAI-GREETH_FLOOD,Mirai-Botnet
22.8,6,114.6,608.823085409046,0.0,0.4,0.5,0.0,0.6,0.0,0.0,6,4,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,606,60,66,60.6,1.897366596101028,60.6,0.0024724006652832,10,3.6000000000000005,VULNERABILITYSCAN,Outros
8.0,17,64.0,25497.288753799392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,16200,162,162,162.0,0.0,162.0,3.921985626220703e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
8.0,17,64.0,25450.873786407767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.92913818359375e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
20.0,6,64.0,14231.004648322194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,7.026910781860352e-05,100,0.0,DOS-TCP_FLOOD,DoS-TCP
19.88,6,64.0,9773.287352036536,0.0,0.0,0.0,0.99,0.99,0.0,0.0,99,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,6013,60,73,60.13,1.2999999999999978,60.13,0.0001023316383361,100,1.6899999999999942,DDOS-PSHACK_FLOOD,DDoS-UDP/ICMP
22.0,6,60.3,1579.0023717200618,0.0,0.2,0.7,0.0,0.8,0.0,0.0,8,2,0,7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2034,60,1494,203.4,453.4706164681456,203.4,0.0006334066390991,10,205635.60000000003,RECON-PORTSCAN,Recon
19.56,6,63.36,9659.176012712158,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.96,0.0,0.02,0.0,0.0,0.0,0.0,0.96,0.02,0.0,0.02,0.0,0.0,0.98,0.98,6050,60,86,60.5,3.092839563517087,60.5,0.0001035284996032,100,9.565656565656566,DDOS-TCP_FLOOD,DDoS-TCP
32.0,6,64.0,241.9837304563549,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2845,66,1122,284.5,421.23132995224057,284.5,0.004312515258789,10,177435.83333333334,DICTIONARYBRUTEFORCE,BruteForce
20.0,6,64.0,33737.96653796654,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.964019775390625e-05,100,0.0,DDOS-SYNONYMOUSIP_FLOOD,DDoS-TCP
20.0,6,64.0,17427.614575975404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,6.00886344909668e-05,100,0.0,DOS-TCP_FLOOD,DoS-TCP
20.0,6,130.8,337.0543233686917,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3991,60,3025,399.1,928.5829646414056,399.1,0.004210090637207,10,862266.3222222222,VULNERABILITYSCAN,Outros
19.88,6,64.0,2240.9420464077534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,6024,60,84,60.24,2.399999999999999,60.24,0.000446240901947,100,5.759999999999995,DOS-TCP_FLOOD,DoS-TCP
26.0,6,96.5,7949.78013646702,0.0,0.0,0.0,0.0,0.7,0.0,0.0,7,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,10637,66,1500,1063.7,586.3484079926845,1063.7,0.0001260042190551,10,343804.45555555564,MITM-ARPSPOOFING,Spoofing
26.4,6,93.8,39.69405427300035,0.0,0.0,0.0,0.6,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1538,60,573,153.8,154.0986696892611,153.8,0.025192904472351,10,23746.4,DICTIONARYBRUTEFORCE,BruteForce
22.8,6,89.9,450.4482677148442,0.0,0.7,0.3,0.0,0.3,0.0,0.0,3,7,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0022301912307739,10,0.0,VULNERABILITYSCAN,Outros
27.2,6,136.6,83.42009534738948,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,4265,66,1146,426.5,487.6930387036501,426.5,0.0125231027603149,10,237844.5,VULNERABILITYSCAN,Outros
19.8,6,63.36,8998.528244405827,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,0.000111129283905,100,0.0,DDOS-SYNONYMOUSIP_FLOOD,DDoS-TCP
20.0,6,64.0,22346.976397250783,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.4748783111572265e-05,100,0.0,DOS-SYN_FLOOD,DoS-TCP
8.0,17,64.0,4071.8235476856166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,0.0002456092834472,100,0.0,MIRAI-UDPPLAIN,Mirai-Botnet
24.0,6,47.0,7886.9951109439635,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001269102096557,10,0.0,RECON-HOSTDISCOVERY,Recon
7.84,17,65.27,8899.813274486505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.01,0.01,0.0,0.99,0.99,6038,60,98,60.38,3.799999999999992,60.38,0.0001123714447021,100,14.439999999999928,DDOS-UDP_FLOOD,DDoS-UDP/ICMP
8.0,17,64.0,10075.67983088306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,16200,162,162,162.0,0.0,162.0,9.95492935180664e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
