Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,categoria
26.4,6,76.3,139.63558884727425,0.0,0.0,0.0,0.0,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,10954,60,1514,1095.4,675.5422842263672,1095.4,0.0105098009109497,10,456357.37777777785,BENIGN,Normal
14.4,17,57.6,89.06635748398344,0.0,0.0,0.0,0.2,0.3,0.0,0.0,3,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.1,0.0,0.0,0.9,0.9,674,60,111,67.4,16.256280837469152,67.4,0.0138563871383667,10,264.2666666666667,BENIGN,Normal
24.8,6,77.5,92.37802205547123,0.1,0.1,0.0,0.3,0.6,0.0,0.0,6,1,1,0,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,1306,60,441,130.6,119.96221627384736,130.6,0.0111641883850097,10,14390.933333333332,BENIGN,Normal
29.6,6,162.5,164.8399863232815,0.0,0.0,0.0,0.2,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1830,66,1103,183.0,324.62422720568605,183.0,0.0069483041763305,10,105380.88888888888,BENIGN,Normal
20.0,6,71.6,347.368752329289,0.1,0.0,0.0,0.1,0.6,0.0,0.0,6,0,1,0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,780,60,156,78.0,30.298514815086232,78.0,0.0040576934814453,10,918.0,BENIGN,Normal
32.0,6,114.1,2092.966067864272,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10796,66,1514,1079.6,699.4504509494102,1079.6,0.0004862070083618,10,489230.93333333335,BENIGN,Normal
25.6,6,134.7,43.97711342735547,0.0,0.0,0.0,0.1,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,7838,60,4360,783.8,1393.6182962187156,783.8,0.0355159997940063,10,1942171.955555556,BENIGN,Normal
29.6,6,202.0,126.39194332362008,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1681,60,1074,168.1,318.36682197322847,168.1,0.008299708366394,10,101357.43333333336,BENIGN,Normal
28.8,6,141.1,186.40356958739977,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1035,60,217,103.5,63.66099451172768,103.5,0.0054726123809814,10,4052.722222222222,BENIGN,Normal
32.0,6,181.1,277.00899520519897,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5094,66,2962,509.4,973.2867797086096,509.4,0.0036623001098632,10,947287.1555555556,BENIGN,Normal
32.0,6,210.4,7806.260934301135,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,66,2922,1494.0,952.0,1494.0,0.0001572132110595,10,906304.0,BENIGN,Normal
23.2,6,87.7,31.232926083709195,0.1,0.0,0.0,0.3,0.8,0.0,0.0,8,0,1,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,851,60,164,85.1,41.74113345636678,85.1,0.0320175886154174,10,1742.322222222222,BENIGN,Normal
32.0,6,231.0,5138.818916932125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,0.0002430915832519,10,0.0,BENIGN,Normal
14.0,17,82.7,61.19801682604623,0.0,0.0,0.0,0.2,0.3,0.0,0.0,3,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1041,60,336,104.1,88.15951451771953,104.1,0.0167707920074462,10,7772.099999999999,BENIGN,Normal
28.8,6,57.2,100.04016581517048,0.0,0.0,0.0,0.2,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,24397,60,12135,2439.7,3631.318035889693,2439.7,0.0126257896423339,10,13186470.677777776,BENIGN,Normal
32.0,6,214.8,532.1707796739199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,0.0018792152404785,10,0.0,BENIGN,Normal
30.4,6,97.0,148.85189351863352,0.0,0.1,0.0,0.5,0.8,0.0,0.0,8,1,0,0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,3985,66,2479,398.5,766.1105591811726,398.5,0.0070570945739746,10,586925.3888888889,BENIGN,Normal
32.0,6,231.0,5274.527162977867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,0.000967001914978,10,0.0,BENIGN,Normal
21.6,6,125.9,62.609962532280456,0.0,0.0,0.0,0.1,0.6,0.0,0.0,6,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.1,0.0,0.0,0.9,0.9,953,60,214,95.3,50.90306692353833,95.3,0.0183796882629394,10,2591.1222222222223,BENIGN,Normal
16.4,17,123.3,203.72764452734145,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4,0,0,0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1702,60,597,170.2,179.07403807115958,170.2,0.0060065984725952,10,32067.511111111107,BENIGN,Normal
32.0,6,64.0,753.4091358157748,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16563,156,2962,1656.3,782.8199807249571,1656.3,0.0013382196426391,10,612807.1222222222,BENIGN,Normal
32.0,6,97.4,175.35815373037607,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10866,66,1514,1086.6,684.0455150548585,1086.6,0.0057188034057617,10,467918.2666666666,BENIGN,Normal
26.8,6,106.2,90.57074435809344,0.0,0.1,0.0,0.1,0.6,0.0,0.0,6,1,0,0,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,7126,66,1727,712.6,743.09909612828,712.6,0.0115211009979248,10,552196.2666666667,BENIGN,Normal
