Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,categoria
19.2,6,105.1,75.37787745962257,0.0,0.6,0.2,0.0,0.2,0.0,0.0,2,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,770,60,230,77.0,53.75872022286245,77.0,0.0132665872573852,10,2890.0,RECON-HOSTDISCOVERY,Recon
18.8,6,93.2,937.107109343581,0.0,0.2,0.6,0.1,0.7,0.0,0.0,7,2,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,663,60,123,66.3,19.92234925906079,66.3,0.0011142969131469,10,396.9,RECON-HOSTDISCOVERY,Recon
3.2,0,6.0,69.24436006438566,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.1,0.1,606,60,66,60.6,1.8973665961010275,60.6,0.0146724939346313,10,3.6,RECON-HOSTDISCOVERY,Recon
32.0,6,64.0,558.2579992546451,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12334,66,1514,1233.4,591.9369711192044,1233.4,0.0018293857574462,10,350389.3777777778,RECON-OSSCAN,Recon
20.0,6,95.8,475.73885032439546,0.0,0.1,0.8,0.0,0.8,0.0,0.0,8,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,614,60,74,61.4,4.427188724235732,61.4,0.0021978855133056,10,19.60000000000001,RECON-HOSTDISCOVERY,Recon
28.8,6,66.1,77.6553271692482,0.2,0.2,0.0,0.2,0.6,0.0,0.0,6,2,2,0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1165,66,441,116.5,117.26821109462416,116.5,0.0228769063949584,10,13751.833333333334,RECON-OSSCAN,Recon
20.0,6,255.0,721.8117987196255,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0015385150909423,10,0.0,RECON-PORTSCAN,Recon
22.4,6,73.0,1366.267305123945,0.0,0.6,0.4,0.0,0.4,0.0,0.0,4,6,0,4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0007320165634155,10,0.0,RECON-HOSTDISCOVERY,Recon
32.0,6,198.0,1951.202084108672,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1779,66,1185,177.9,353.85887017284176,177.9,0.0072762012481689,10,125216.10000000006,RECON-OSSCAN,Recon
29.6,6,83.1,23471.203133743704,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,667,66,73,66.7,2.213594362117865,66.7,4.279613494873047e-05,10,4.9,RECON-OSSCAN,Recon
