Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,categoria
20.12,6,65.73,9027.774429616877,0.0,0.01,0.0,0.0,0.01,0.0,0.0,1,1,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6006,60,66,60.06,0.5999999999999999,60.06,0.0001107692718505,100,0.3599999999999999,DOS-TCP_FLOOD,DoS-TCP
20.0,6,64.0,70033.46134580064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.4290809631347656e-05,100,0.0,DOS-TCP_FLOOD,DoS-TCP
8.0,17,64.0,3838.652816546927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,0.0002605295181274,100,0.0,MIRAI-UDPPLAIN,Mirai-Botnet
19.2,6,105.1,75.37787745962257,0.0,0.6,0.2,0.0,0.2,0.0,0.0,2,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,770,60,230,77.0,53.75872022286245,77.0,0.0132665872573852,10,2890.0,RECON-HOSTDISCOVERY,Recon
19.8,6,64.0,11540.88545249429,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,1.0,1.0,6038,60,98,60.38,3.799999999999988,60.38,8.664846420288086e-05,100,14.439999999999907,DDOS-SYNONYMOUSIP_FLOOD,DDoS-TCP
8.0,17,64.0,85984.09184091841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.1641979217529296e-05,100,0.0,DDOS-UDP_FLOOD,DDoS-UDP/ICMP
32.0,6,63.3,322638.76923076925,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2094,66,1500,209.4,453.4706164681456,209.4,3.1948089599609376e-06,10,205635.6,MITM-ARPSPOOFING,Spoofing
26.4,6,76.3,139.63558884727425,0.0,0.0,0.0,0.0,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,10954,60,1514,1095.4,675.5422842263672,1095.4,0.0105098009109497,10,456357.37777777785,BENIGN,Normal
14.4,17,80.3,271.74685446982755,0.1,0.1,0.0,0.0,0.2,0.0,0.0,2,1,1,0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.2,0.0,0.0,0.8,0.8,1104,60,218,110.4,72.54607731182529,110.4,0.0044214010238647,10,5262.9333333333325,VULNERABILITYSCAN,Outros
14.4,17,57.6,89.06635748398344,0.0,0.0,0.0,0.2,0.3,0.0,0.0,3,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.1,0.0,0.0,0.9,0.9,674,60,111,67.4,16.256280837469152,67.4,0.0138563871383667,10,264.2666666666667,BENIGN,Normal
20.0,6,64.0,35125.23239259693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.855062484741211e-05,100,0.0,DDOS-SYNONYMOUSIP_FLOOD,DDoS-TCP
8.0,17,64.0,31356.937799043066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.1890869140625e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
18.8,6,93.2,937.107109343581,0.0,0.2,0.6,0.1,0.7,0.0,0.0,7,2,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,663,60,123,66.3,19.92234925906079,66.3,0.0011142969131469,10,396.9,RECON-HOSTDISCOVERY,Recon
0.0,47,64.0,5905.557354659758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,0.0001693415641784,100,0.0,MIRAI-GREIP_FLOOD,Mirai-Botnet
0.0,47,64.0,12629.64167419452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,8.069038391113281e-05,100,0.0,MIRAI-GREIP_FLOOD,Mirai-Botnet
3.2,0,6.0,69.24436006438566,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.1,0.1,606,60,66,60.6,1.8973665961010275,60.6,0.0146724939346313,10,3.6,RECON-HOSTDISCOVERY,Recon
8.0,17,64.0,32132.873668888376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.1120777130126953e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
8.0,17,53.1,514.8280348594575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3990,46,902,399.0,426.0279072757767,399.0,0.0025585889816284,10,181499.77777777772,MITM-ARPSPOOFING,Spoofing
19.8,6,63.36,12476.734985275309,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,8.015871047973632e-05,100,0.0,DDOS-SYNONYMOUSIP_FLOOD,DDoS-TCP
8.32,17,63.85,33455.40400414772,0.0,0.01,0.0,0.0,0.01,0.0,0.0,1,1,0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.0,0.0,0.0,1.0,1.0,6014,60,74,60.14,1.3999999999999997,60.14,2.989053726196289e-05,100,1.9599999999999984,DDOS-UDP_FLOOD,DDoS-UDP/ICMP
20.0,6,64.0,21570.089997428644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.6360492706298825e-05,100,0.0,DDOS-SYN_FLOOD,DDoS-TCP
32.0,6,64.0,558.2579992546451,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12334,66,1514,1233.4,591.9369711192044,1233.4,0.0018293857574462,10,350389.3777777778,RECON-OSSCAN,Recon
13.6,17,89.5,187.4658192431292,0.0,0.1,0.0,0.1,0.1,0.0,0.0,1,1,0,0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.8,0.2,0.0,0.0,0.0,1.0,1.0,1600,60,348,160.0,129.09255938623608,160.0,0.0064171075820922,10,16664.88888888889,VULNERABILITYSCAN,Outros
0.0,47,64.0,13460.971147982926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59200,592,592,592.0,0.0,592.0,7.493019104003906e-05,100,0.0,MIRAI-GREETH_FLOOD,Mirai-Botnet
20.0,6,64.0,28785.28584174044,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.4739971160888674e-05,100,0.0,DDOS-SYNONYMOUSIP_FLOOD,DDoS-TCP
0.0,1,64.0,37509.425862994096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.666950225830078e-05,100,0.0,DDOS-ICMP_FLOOD,DDoS-UDP/ICMP
18.4,6,100.5,36.52098803271152,0.1,0.0,0.0,0.3,0.6,0.0,0.0,6,0,1,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,1128,60,409,112.8,106.78202095858646,112.8,0.030055809020996,10,11402.399999999998,VULNERABILITYSCAN,Outros
23.2,6,122.9,44.537481935169424,0.0,0.1,0.0,0.3,0.5,0.0,0.0,5,1,0,0,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1034,60,214,103.4,48.71504444784542,103.4,0.0239255905151367,10,2373.155555555555,DICTIONARYBRUTEFORCE,BruteForce
24.8,6,77.5,92.37802205547123,0.1,0.1,0.0,0.3,0.6,0.0,0.0,6,1,1,0,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,1306,60,441,130.6,119.96221627384736,130.6,0.0111641883850097,10,14390.933333333332,BENIGN,Normal
19.88,6,64.0,18860.97670653836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,6019,60,79,60.19,1.899999999999996,60.19,5.302906036376953e-05,100,3.6099999999999848,DOS-TCP_FLOOD,DoS-TCP
7.84,17,67.82,17519.335031953553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,1.0,1.0,6020,60,70,60.2,1.4070529413628938,60.2,5.707979202270508e-05,100,1.979797979797971,DDOS-UDP_FLOOD,DDoS-UDP/ICMP
20.0,6,95.8,475.73885032439546,0.0,0.1,0.8,0.0,0.8,0.0,0.0,8,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,614,60,74,61.4,4.427188724235732,61.4,0.0021978855133056,10,19.60000000000001,RECON-HOSTDISCOVERY,Recon
27.6,6,106.3,251.88291956425127,0.0,0.2,0.0,0.3,0.6,0.0,0.0,6,2,0,0,0.1,0.6,0.2,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1740,66,583,174.0,170.6204364469079,174.0,0.0055849075317382,10,29111.33333333333,VULNERABILITYSCAN,Outros
29.6,6,162.5,164.8399863232815,0.0,0.0,0.0,0.2,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1830,66,1103,183.0,324.62422720568605,183.0,0.0069483041763305,10,105380.88888888888,BENIGN,Normal
30.8,6,78.0,214.1557188299388,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8059,66,1494,805.9,727.0993283818473,805.9,0.0097134113311767,10,528673.4333333333,MITM-ARPSPOOFING,Spoofing
20.0,6,71.6,347.368752329289,0.1,0.0,0.0,0.1,0.6,0.0,0.0,6,0,1,0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,780,60,156,78.0,30.298514815086232,78.0,0.0040576934814453,10,918.0,BENIGN,Normal
20.0,6,64.0,95325.09090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.049041748046875e-05,100,0.0,DDOS-TCP_FLOOD,DDoS-TCP
28.8,6,66.1,77.6553271692482,0.2,0.2,0.0,0.2,0.6,0.0,0.0,6,2,2,0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1165,66,441,116.5,117.26821109462416,116.5,0.0228769063949584,10,13751.833333333334,RECON-OSSCAN,Recon
7.68,17,64.0,4789.494478891896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.04,0.0,1.0,1.0,55512,554,582,555.12,5.514498795874104,555.12,0.0002088189125061,100,30.409696969696945,MIRAI-UDPPLAIN,Mirai-Botnet
32.0,6,114.1,2092.966067864272,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10796,66,1514,1079.6,699.4504509494102,1079.6,0.0004862070083618,10,489230.93333333335,BENIGN,Normal
32.0,6,60.5,752.5575052929989,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7920,66,1500,792.0,746.77975334097,792.0,0.0016463994979858,10,557680.0,MITM-ARPSPOOFING,Spoofing
0.0,1,64.0,12113.863216266174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,8.255958557128906e-05,100,0.0,DDOS-ICMP_FLOOD,DDoS-UDP/ICMP
25.6,6,134.7,43.97711342735547,0.0,0.0,0.0,0.1,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,7838,60,4360,783.8,1393.6182962187156,783.8,0.0355159997940063,10,1942171.955555556,BENIGN,Normal
19.8,6,63.36,14172.339922284167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,7.097959518432617e-05,100,0.0,DOS-TCP_FLOOD,DoS-TCP
19.88,6,64.0,27226.90035702693,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.112958908081055e-05,100,0.0,DOS-SYN_FLOOD,DoS-TCP
20.24,6,65.91,14949.75762760194,0.0,0.0,0.0,0.02,0.03,0.0,0.0,3,0,0,0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6280,60,267,62.8,21.693456631114778,62.8,6.690025329589844e-05,100,470.6060606060577,DOS-TCP_FLOOD,DoS-TCP
20.0,6,64.0,15639.300495917074,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,6.394147872924805e-05,100,0.0,DOS-SYN_FLOOD,DoS-TCP
20.0,6,64.0,34686.60271253721,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.882957458496093e-05,100,0.0,DDOS-PSHACK_FLOOD,DDoS-UDP/ICMP
38.0,6,64.0,268865.641025641,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720,66,94,72.0,10.370899457402697,72.0,3.814697265625e-06,10,107.55555555555556,MITM-ARPSPOOFING,Spoofing
0.08,47,64.0,4808.603038119805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0,1.0,57296,74,578,572.96,50.40000000000004,572.96,0.0002086496353149,100,2540.1600000000044,MIRAI-GREIP_FLOOD,Mirai-Botnet
8.0,17,64.0,17531.783982611603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,18200,182,182,182.0,0.0,182.0,5.705118179321289e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
20.0,6,64.0,22967.38582849633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.3549537658691405e-05,100,0.0,DOS-TCP_FLOOD,DoS-TCP
8.0,17,64.0,29230.63628127396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.4220218658447266e-05,100,0.0,DDOS-UDP_FLOOD,DDoS-UDP/ICMP
24.0,6,64.0,132437.7644458478,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,7.550716400146485e-06,100,0.0,DDOS-SYN_FLOOD,DDoS-TCP
20.0,6,64.0,36941.20133873525,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.7070045471191408e-05,100,0.0,DDOS-SYN_FLOOD,DDoS-TCP
16.0,17,88.2,125.43600356482784,0.0,0.1,0.0,0.1,0.3,0.0,0.0,3,1,0,0,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.3,0.7,0.2,0.0,0.0,0.0,1.0,1.0,2086,66,357,208.6,134.66518150996237,208.6,0.0083852052688598,10,18134.711111111108,VULNERABILITYSCAN,Outros
8.0,17,64.0,9158.268920040176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,0.0001092004776,100,0.0,DDOS-UDP_FLOOD,DDoS-UDP/ICMP
20.0,6,255.0,721.8117987196255,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0015385150909423,10,0.0,RECON-PORTSCAN,Recon
16.8,6,87.8,65.99134024770919,0.0,0.1,0.0,0.1,0.3,0.0,0.0,3,1,0,0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,1.0,1.0,3449,66,1514,344.9,431.8889903667376,344.9,0.0165487051010131,10,186528.1,VULNERABILITYSCAN,Outros
22.4,6,73.0,1366.267305123945,0.0,0.6,0.4,0.0,0.4,0.0,0.0,4,6,0,4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0007320165634155,10,0.0,RECON-HOSTDISCOVERY,Recon
29.6,6,202.0,126.39194332362008,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1681,60,1074,168.1,318.36682197322847,168.1,0.008299708366394,10,101357.43333333336,BENIGN,Normal
32.0,6,137.2,2995.7174487536604,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6384,66,1500,638.4,738.9679289387328,638.4,0.0003340005874633,10,546073.6000000001,MITM-ARPSPOOFING,Spoofing
19.28,6,94.71,101.6987848918662,0.01,0.0,0.0,0.29,0.6,0.0,0.0,60,0,1,0,0.0,0.31,0.1,0.0,0.0,0.0,0.0,0.6,0.16,0.04,0.23,0.01,0.0,0.77,0.77,19443,60,1514,194.43,277.09044780112185,194.43,0.0098385691642761,100,76779.11626262622,MIRAI-UDPPLAIN,Mirai-Botnet
20.0,6,64.0,29689.983719119416,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.368139266967774e-05,100,0.0,DOS-SYN_FLOOD,DoS-TCP
20.0,6,64.0,9769.417464421307,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,0.0001024389266967,100,0.0,DDOS-RSTFINFLOOD,DDoS-UDP/ICMP
28.8,6,141.1,186.40356958739977,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1035,60,217,103.5,63.66099451172768,103.5,0.0054726123809814,10,4052.722222222222,BENIGN,Normal
20.0,6,64.0,16755.7686161713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,5.99813461303711e-05,100,0.0,DOS-TCP_FLOOD,DoS-TCP
8.0,17,60.6,625.9407831900669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1150,46,248,115.0,55.53377350765928,115.0,0.0015978097915649,10,3084.0,MITM-ARPSPOOFING,Spoofing
32.0,6,198.0,1951.202084108672,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1779,66,1185,177.9,353.85887017284176,177.9,0.0072762012481689,10,125216.10000000006,RECON-OSSCAN,Recon
20.0,6,64.0,40717.444908261336,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.4559497833251954e-05,100,0.0,DDOS-RSTFINFLOOD,DDoS-UDP/ICMP
32.0,6,87.6,248.8610418891658,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12925,66,5250,1292.5,1694.3996806473313,1292.5,0.0040183067321777,10,2870990.277777778,VULNERABILITYSCAN,Outros
20.0,6,64.0,22675.590636319404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.410982131958008e-05,100,0.0,DDOS-SYNONYMOUSIP_FLOOD,DDoS-TCP
