Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,categoria
8.24,17,63.96,3620.429689860252,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.0,0.0,0.0,1.0,1.0,54912,66,554,549.12,48.80000000000001,549.12,0.0002799892425537,100,2381.440000000001,MIRAI-UDPPLAIN,Mirai-Botnet
20.0,6,64.0,34903.08729300158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.396034240722656e-05,100,0.0,DDOS-SYNONYMOUSIP_FLOOD,DDoS-TCP
8.24,17,67.82,21853.30068254051,0.0,0.0,0.0,0.02,0.02,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,0.0,0.0,0.0,1.0,1.0,6126,60,123,61.26,8.864433530586247,61.26,4.599094390869141e-05,100,78.57818181818175,DOS-UDP_FLOOD,DoS-UDP/ICMP
7.68,17,71.64,7855.531623995655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.04,0.0,1.0,1.0,6040,60,70,60.4,1.9694638556693287,60.4,0.0001272988319396,100,3.8787878787878975,DOS-UDP_FLOOD,DoS-UDP/ICMP
10.4,17,105.9,84.51521123241409,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.2,0.5,0.0,0.3,0.0,0.0,0.7,0.7,1235,60,230,123.5,71.15437052243836,123.5,0.0152137041091918,10,5062.944444444444,VULNERABILITYSCAN,Outros
8.0,17,64.0,5010.816558150648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,0.0002005982398986,100,0.0,MIRAI-UDPPLAIN,Mirai-Botnet
24.0,6,64.9,74.12238319590288,0.2,0.1,0.0,0.2,0.6,0.0,0.0,6,1,2,0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.8,0.8,2612,60,1867,261.2,566.1428559412661,261.2,0.0136269092559814,10,320517.7333333333,RECON-PORTSCAN,Recon
0.0,1,64.0,48517.10815500289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.062082290649414e-05,100,0.0,DDOS-ICMP_FLOOD,DDoS-UDP/ICMP
0.0,47,64.0,1605.05743959467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,59198,590,592,591.98,0.1999999999999997,591.98,0.0006244301795959,100,0.0399999999999999,MIRAI-GREETH_FLOOD,Mirai-Botnet
19.8,6,63.36,19069.352125483063,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,5.244016647338867e-05,100,0.0,DDOS-SYN_FLOOD,DDoS-TCP
