Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,categoria
17.6,6,101.1,65.55218319522632,0.0,0.1,0.0,0.2,0.4,0.0,0.0,4,1,0,0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.1,0.0,1.0,1.0,1108,60,262,110.8,70.18831811633613,110.8,0.0177348136901855,10,4926.399999999999,VULNERABILITYSCAN,Outros
0.08,47,69.73,1348.7418764611116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.04,0.0,0.98,0.98,54371,60,578,543.71,126.39702520153703,543.71,0.0007414317131042,100,15976.207979797991,MIRAI-GREIP_FLOOD,Mirai-Botnet
20.0,6,64.0,15138.066192658896,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,6.606817245483399e-05,100,0.0,DDOS-RSTFINFLOOD,DDoS-UDP/ICMP
24.8,6,76.4,101.74817574910728,0.0,0.0,0.0,0.3,0.7,0.0,0.0,7,0,0,0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,5653,66,2962,565.3,944.1805441757418,565.3,0.0107758998870849,10,891476.8999999999,BENIGN,Normal
34.4,6,64.0,2920.6211266624887,0.0,0.3,0.0,0.1,1.0,0.0,0.0,10,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3940,66,3322,394.0,1028.8012441672104,394.0,0.0003425121307373,10,1058432.0,RECON-PORTSCAN,Recon
28.4,6,238.2,305.1024208566108,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,831,66,123,83.1,27.533615817759934,83.1,0.0044594049453735,10,758.1,BENIGN,Normal
8.0,17,64.0,34506.82023858494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.928018569946289e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
32.0,6,63.2,16926.166263115414,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3556,66,2962,355.6,915.7956103847628,355.6,0.0001053810119628,10,838681.6000000001,MITM-ARPSPOOFING,Spoofing
16.0,17,62.6,78.52869534609847,0.0,0.1,0.0,0.1,0.3,0.0,0.0,3,1,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,822,60,262,82.2,63.33999964915973,82.2,0.0150799989700317,10,4011.9555555555535,VULNERABILITYSCAN,Outros
27.2,6,99.4,89.46207202518578,0.0,0.0,0.0,0.3,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1843,66,773,184.3,223.7692511892056,184.3,0.0158009052276611,10,50072.67777777779,BENIGN,Normal
8.0,17,64.0,31857.08643475619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.139019012451172e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
0.0,47,66.45,5352.471861361374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.0,1.0,58212,98,592,582.12,69.50841530332713,582.12,0.0001877903938293,100,4831.419797979801,MIRAI-GREETH_FLOOD,Mirai-Botnet
32.0,6,97.4,138.2128534568833,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14649,66,3829,1464.9,1223.3557173247327,1464.9,0.0072916030883789,10,1496599.211111111,BENIGN,Normal
8.0,17,64.0,6629.947994878523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,0.000150830745697,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
20.24,6,64.0,14773.357754217886,0.01,0.98,0.0,0.0,0.02,0.0,0.0,2,98,1,0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6012,60,66,60.12,0.8442317648177373,60.12,6.768941879272462e-05,100,0.7127272727272713,DOS-SYN_FLOOD,DoS-TCP
20.0,6,64.0,28612.48379834913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.494977951049805e-05,100,0.0,DOS-TCP_FLOOD,DoS-TCP
8.0,17,64.0,31368.66352554035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.1878948211669924e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
48.0,6,87.6,16131.938461538462,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7800,86,2858,780.0,974.569534603754,780.0,6.909370422363282e-05,10,949785.7777777778,BENIGN,Normal
20.24,6,64.0,12977.02422573559,0.0,0.98,0.0,0.01,0.02,0.0,0.0,2,98,0,0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6263,60,317,62.63,25.70094326767957,62.63,7.705926895141601e-05,100,660.5384848484836,DOS-SYN_FLOOD,DoS-TCP
1.0,47,67.97,3437.137073974219,0.0,0.02,0.0,0.01,0.03,0.0,0.0,3,2,0,0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,1.0,1.0,55829,70,578,558.29,97.14472126001942,558.29,0.0002930307388305,100,9437.09686868687,MIRAI-GREIP_FLOOD,Mirai-Botnet
29.6,6,216.3,132.5172664370794,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1021,66,427,102.1,114.15822353207852,102.1,0.0080525875091552,10,13032.100000000004,BENIGN,Normal
29.6,6,82.7,307.87271993246964,0.0,0.0,0.0,0.2,0.9,0.0,0.0,9,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,17076,66,7495,1707.6,2130.8961182250687,1707.6,0.003616189956665,10,4540718.266666666,BENIGN,Normal
8.0,17,64.0,28051.7924023542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.564834594726563e-05,100,0.0,DOS-UDP_FLOOD,DoS-UDP/ICMP
0.0,47,64.0,13175.134286163027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59200,592,592,592.0,0.0,592.0,7.745981216430664e-05,100,0.0,MIRAI-GREETH_FLOOD,Mirai-Botnet
32.0,6,60.6,1182.9936539275138,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12084,66,1494,1208.4,602.0976664960593,1208.4,0.0009091138839721,10,362521.5999999999,DNS_SPOOFING,Spoofing
21.8,6,77.44,8835.321873946748,0.0,0.0,0.0,0.01,0.15,0.0,0.0,15,0,0,0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19678,60,2962,196.78,550.9625659615261,196.78,0.000113182067871,100,303559.749090909,DOS-TCP_FLOOD,DoS-TCP
19.76,6,67.38,10718.074259576317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,7743,60,1245,77.43,130.4695680295534,77.43,9.330034255981444e-05,100,17022.30818181826,DDOS-TCP_FLOOD,DDoS-TCP
32.0,6,64.0,969.5570966250576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25276,1514,8754,2527.6,2269.0467504120656,2527.6,0.0017632007598876,10,5148573.155555556,BENIGN,Normal
20.0,6,64.0,8640.744937269525,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,0.0001157307624816,100,0.0,DDOS-SYN_FLOOD,DDoS-TCP
7.76,17,71.64,4168.749565165535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.03,0.0,1.0,1.0,6210,60,214,62.1,15.651185129554756,62.1,0.0002398896217346,100,244.959595959596,DOS-UDP_FLOOD,DoS-UDP/ICMP
