DataHora,Modelo_IA,IP_Origem,Classe_Detetada,Acao_Tomada,Tempo_Resposta_ms
2026-05-12 18:40:16.049,LightGBM,127.0.0.1,Recon,Bloqueado,6.5334
2026-05-12 18:40:17.045,LightGBM,127.0.0.1,Mirai-Botnet,Bloqueado,5.153
2026-05-12 18:40:18.045,LightGBM,127.0.0.1,Recon,Bloqueado,4.1038
2026-05-12 18:40:19.047,LightGBM,127.0.0.1,DoS-UDP/ICMP,Bloqueado,3.6479
2026-05-12 18:40:20.048,LightGBM,127.0.0.1,DoS-UDP/ICMP,Bloqueado,4.0747
2026-05-12 18:40:21.052,LightGBM,127.0.0.1,DoS-TCP,Bloqueado,4.9193
2026-05-12 18:40:22.049,LightGBM,127.0.0.1,DDoS-UDP/ICMP,Bloqueado,2.4444
2026-05-12 18:40:23.053,LightGBM,127.0.0.1,Recon,Bloqueado,4.2784
2026-05-12 18:40:24.053,LightGBM,127.0.0.1,DoS-TCP,Bloqueado,3.443
2026-05-12 18:40:25.068,LightGBM,127.0.0.1,BruteForce,Bloqueado,4.167
2026-05-12 18:40:26.058,LightGBM,127.0.0.1,DDoS-TCP,Bloqueado,2.998
2026-05-12 18:40:27.059,LightGBM,127.0.0.1,DoS-TCP,Bloqueado,2.4723
2026-05-12 18:40:28.061,LightGBM,127.0.0.1,Normal,Permitido,3.6263
2026-05-12 18:40:29.063,LightGBM,127.0.0.1,DoS-TCP,Bloqueado,3.4244
2026-05-12 18:40:30.065,LightGBM,127.0.0.1,Spoofing,Bloqueado,3.6018
2026-05-12 18:40:31.066,LightGBM,127.0.0.1,Spoofing,Bloqueado,3.3376
2026-05-12 18:40:32.070,LightGBM,127.0.0.1,Recon,Bloqueado,2.9608
2026-05-12 18:40:33.078,LightGBM,127.0.0.1,Outros,Bloqueado,4.546
2026-05-12 18:40:34.078,LightGBM,127.0.0.1,DDoS-TCP,Bloqueado,3.4524
2026-05-12 18:40:35.079,LightGBM,127.0.0.1,DDoS-TCP,Bloqueado,3.3035
2026-05-12 18:40:36.082,LightGBM,127.0.0.1,Mirai-Botnet,Bloqueado,3.9893
2026-05-12 18:40:37.084,LightGBM,127.0.0.1,Recon,Bloqueado,4.7402
2026-05-12 18:40:38.084,LightGBM,127.0.0.1,DDoS-UDP/ICMP,Bloqueado,3.6092
2026-05-12 18:40:39.087,LightGBM,127.0.0.1,DoS-UDP/ICMP,Bloqueado,4.8562
2026-05-12 18:40:40.087,LightGBM,127.0.0.1,Normal,Permitido,4.003
2026-05-12 18:40:41.089,LightGBM,127.0.0.1,DDoS-TCP,Bloqueado,4.719
2026-05-12 18:40:42.090,LightGBM,127.0.0.1,DoS-UDP/ICMP,Bloqueado,3.8053
2026-05-12 18:40:43.088,LightGBM,127.0.0.1,Spoofing,Bloqueado,2.4359
2026-05-12 18:40:44.094,LightGBM,127.0.0.1,BruteForce,Bloqueado,4.8155
2026-05-12 18:40:45.094,LightGBM,127.0.0.1,Outros,Bloqueado,4.5295
2026-05-12 18:40:46.097,LightGBM,127.0.0.1,DDoS-TCP,Bloqueado,4.9981
2026-05-12 18:40:47.100,LightGBM,127.0.0.1,DoS-UDP/ICMP,Bloqueado,6.196
2026-05-12 18:40:48.097,LightGBM,127.0.0.1,Recon,Bloqueado,3.2316
2026-05-12 18:40:49.100,LightGBM,127.0.0.1,DDoS-UDP/ICMP,Bloqueado,3.672
2026-05-12 18:40:50.103,LightGBM,127.0.0.1,Recon,Bloqueado,4.0672
