DataHora,Modelo_IA,IP_Origem,Classe_Detetada,Acao_Tomada,Tempo_Resposta_ms
2026-05-13 17:06:55.392,LightGBM,10.0.0.1,Recon,Bloqueado,3.3553
2026-05-13 17:06:56.407,LightGBM,10.0.0.1,Mirai-Botnet,Bloqueado,3.7401
2026-05-13 17:06:57.393,LightGBM,10.0.0.1,Recon,Bloqueado,1.4311
2026-05-13 17:06:58.402,LightGBM,10.0.0.1,DoS-UDP/ICMP,Bloqueado,1.729
2026-05-13 17:06:59.403,LightGBM,10.0.0.1,DoS-UDP/ICMP,Bloqueado,1.3704
2026-05-13 17:07:00.399,LightGBM,10.0.0.1,DoS-TCP,Bloqueado,1.7579
2026-05-13 17:07:01.404,LightGBM,10.0.0.1,DDoS-UDP/ICMP,Bloqueado,1.8981
2026-05-13 17:07:02.400,LightGBM,10.0.0.1,Recon,Bloqueado,1.669
2026-05-13 17:07:03.404,LightGBM,10.0.0.1,DoS-TCP,Bloqueado,1.4855
2026-05-13 17:07:04.420,LightGBM,10.0.0.1,BruteForce,Bloqueado,2.0521
2026-05-13 17:07:05.410,LightGBM,10.0.0.1,DDoS-TCP,Bloqueado,3.091
2026-05-13 17:07:06.409,LightGBM,10.0.0.1,DoS-TCP,Bloqueado,1.3014
2026-05-13 17:07:07.408,LightGBM,10.0.0.1,Normal,Permitido,2.4213
2026-05-13 17:07:08.412,LightGBM,10.0.0.1,DoS-TCP,Bloqueado,2.1484
2026-05-13 17:07:09.414,LightGBM,10.0.0.1,Spoofing,Bloqueado,2.2424
2026-05-13 17:07:10.414,LightGBM,10.0.0.1,Spoofing,Bloqueado,1.5454
2026-05-13 17:07:11.414,LightGBM,10.0.0.1,Recon,Bloqueado,3.0918
2026-05-13 17:07:12.416,LightGBM,10.0.0.1,Outros,Bloqueado,2.1359
2026-05-13 17:07:13.421,LightGBM,10.0.0.1,DDoS-TCP,Bloqueado,1.6921
2026-05-13 17:07:14.423,LightGBM,10.0.0.1,DDoS-TCP,Bloqueado,1.4697
2026-05-13 17:07:15.425,LightGBM,10.0.0.1,Mirai-Botnet,Bloqueado,1.6418
2026-05-13 17:07:16.424,LightGBM,10.0.0.1,Recon,Bloqueado,2.1731
2026-05-13 17:07:17.431,LightGBM,10.0.0.1,DDoS-UDP/ICMP,Bloqueado,1.4549
2026-05-13 17:07:18.431,LightGBM,10.0.0.1,DoS-UDP/ICMP,Bloqueado,1.4028
2026-05-13 17:07:19.427,LightGBM,10.0.0.1,Normal,Permitido,1.2646
2026-05-13 17:07:20.433,LightGBM,10.0.0.1,DDoS-TCP,Bloqueado,2.9969
2026-05-13 17:07:21.437,LightGBM,10.0.0.1,DoS-UDP/ICMP,Bloqueado,2.0506
2026-05-13 17:07:22.437,LightGBM,10.0.0.1,Spoofing,Bloqueado,4.9085
2026-05-13 17:07:23.435,LightGBM,10.0.0.1,BruteForce,Bloqueado,1.3863
2026-05-13 17:07:24.433,LightGBM,10.0.0.1,Outros,Bloqueado,1.4096
2026-05-13 17:07:25.439,LightGBM,10.0.0.1,DDoS-TCP,Bloqueado,1.6631
2026-05-13 17:07:26.443,LightGBM,10.0.0.1,DoS-UDP/ICMP,Bloqueado,1.7814
2026-05-13 17:07:27.439,LightGBM,10.0.0.1,Recon,Bloqueado,1.4748
2026-05-13 17:07:28.447,LightGBM,10.0.0.1,DDoS-UDP/ICMP,Bloqueado,1.6681
2026-05-13 17:07:29.444,LightGBM,10.0.0.1,Recon,Bloqueado,1.7517
2026-05-13 17:07:30.446,LightGBM,10.0.0.1,Recon,Bloqueado,1.7177
2026-05-13 17:07:31.446,LightGBM,10.0.0.1,Normal,Permitido,1.5301
2026-05-13 17:07:32.448,LightGBM,10.0.0.1,Normal,Permitido,2.2024
2026-05-13 17:07:33.452,LightGBM,10.0.0.1,DoS-TCP,Bloqueado,2.0361
2026-05-13 17:07:34.454,LightGBM,10.0.0.1,DDoS-TCP,Bloqueado,1.4537
2026-05-13 17:07:35.457,LightGBM,10.0.0.1,DDoS-UDP/ICMP,Bloqueado,1.5666
2026-05-13 17:07:36.455,LightGBM,10.0.0.1,DoS-TCP,Bloqueado,1.6049
2026-05-13 17:07:37.458,LightGBM,10.0.0.1,BruteForce,Bloqueado,1.6186
2026-05-13 17:07:38.459,LightGBM,10.0.0.1,Spoofing,Bloqueado,1.604
2026-05-13 17:07:39.468,LightGBM,10.0.0.1,DDoS-UDP/ICMP,Bloqueado,2.3659
2026-05-13 17:07:40.466,LightGBM,10.0.0.1,DDoS-TCP,Bloqueado,2.2112
2026-05-13 17:07:41.462,LightGBM,10.0.0.1,Recon,Bloqueado,2.1157
2026-05-13 17:07:42.468,LightGBM,10.0.0.1,DoS-UDP/ICMP,Bloqueado,2.1657
2026-05-13 17:07:43.462,LightGBM,10.0.0.1,Normal,Permitido,2.3383
2026-05-13 17:07:44.468,LightGBM,10.0.0.1,DoS-TCP,Bloqueado,1.8477
2026-05-13 17:07:45.472,LightGBM,10.0.0.1,DoS-UDP/ICMP,Bloqueado,1.392
2026-05-13 17:07:46.470,LightGBM,10.0.0.1,BruteForce,Bloqueado,1.427
2026-05-13 17:07:47.477,LightGBM,10.0.0.1,DDoS-TCP,Bloqueado,3.0511
2026-05-13 17:07:48.477,LightGBM,10.0.0.1,DDoS-TCP,Bloqueado,2.4582
2026-05-13 17:07:49.473,LightGBM,10.0.0.1,Recon,Bloqueado,2.1206
2026-05-13 17:07:50.474,LightGBM,10.0.0.1,Normal,Permitido,1.3789
2026-05-13 17:07:51.476,LightGBM,10.0.0.1,Normal,Permitido,1.4163
2026-05-13 17:07:52.477,LightGBM,10.0.0.1,Normal,Permitido,1.5209
2026-05-13 17:07:53.482,LightGBM,10.0.0.1,DoS-TCP,Bloqueado,1.6654
2026-05-13 17:07:54.480,LightGBM,10.0.0.1,Recon,Bloqueado,2.2619
